isRain,Temperature,Humidity
0,32.8,3
0,33.3,3
0,24.4,4
0,26.7,4
0,32.8,4
0,33.3,4
0,35.6,4
0,37.2,4
0,32.8,5
0,33.9,5
0,33.9,5
0,35,5
0,20,6
0,21.7,6
0,31.7,6
0,32.8,6
0,36.7,6
0,37.2,6
0,37.2,6
0,37.8,6
0,38.3,6
0,17.2,7
0,17.8,7
0,20,7
0,26.1,7
0,30,7
0,30,7
0,31.1,7
0,32.2,7
0,32.2,7
0,32.2,7
0,33.3,7
0,33.3,7
0,36.1,7
0,36.7,7
0,37.2,7
0,21.7,8
0,30.6,8
0,30.6,8
0,31.1,8
0,32.2,8
0,32.8,8
0,36.7,8
0,37.2,8
0,37.2,8
0,24.4,9
0,26.7,9
0,28.9,9
0,30.6,9
0,32.8,9
0,35,9
0,36,9
0,36.1,9
0,36.7,9
0,22.2,10
0,23.3,10
0,26.1,10
0,26.1,10
0,27.8,10
0,28,10
0,28,10
0,28,10
0,28.9,10
0,30,10
0,30.6,10
0,31.1,10
0,33,10
0,33.3,10
0,33.9,10
0,34,10
0,35.6,10
0,35.6,10
0,36.7,10
0,37.2,10
0,41.7,10
0,23.3,11
0,24.4,11
0,25,11
0,28.3,11
0,28.9,11
0,28.9,11
0,29.4,11
0,33,11
0,33,11
0,33,11
0,33.3,11
0,35,11
0,37,11
0,38,11
1,39.4,11
0,39.4,11
0,41.7,11
0,25,12
0,25.6,12
0,27.2,12
0,27.2,12
0,27.2,12
0,28.3,12
0,28.9,12
0,28.9,12
0,30,12
0,34.4,12
0,34.4,12
0,34.4,12
0,36,12
0,36,12
0,36.1,12
0,36.7,12
0,38,12
0,38.3,12
0,22,13
0,23.9,13
0,23.9,13
0,23.9,13
0,24,13
0,24,13
0,24.4,13
0,25,13
0,26.1,13
0,27.2,13
0,27.8,13
0,28.3,13
0,29,13
0,31,13
0,32,13
0,33.9,13
0,33.9,13
0,34,13
0,34.4,13
0,34.4,13
0,35,13
0,35.6,13
0,35.6,13
0,36,13
0,36.1,13
0,37.8,13
0,38,13
0,38.3,13
0,38.9,13
0,38.9,13
0,39.4,13
0,41.1,13
0,41.1,13
0,41.7,13
0,41.7,13
0,22,14
0,22,14
0,22.2,14
0,22.2,14
0,23,14
0,24.4,14
0,25,14
0,26,14
0,26.7,14
0,27.8,14
0,29,14
0,29.4,14
0,29.4,14
0,29.4,14
1,30.6,14
0,30.6,14
0,30.6,14
0,31.1,14
0,31.7,14
0,31.7,14
0,32,14
0,33,14
0,33.3,14
0,33.9,14
0,34.4,14
0,34.4,14
0,34.4,14
0,37,14
0,38,14
0,22.8,15
0,23.3,15
0,23.9,15
0,25,15
0,25.6,15
0,25.6,15
0,25.6,15
0,26,15
0,26.1,15
0,26.1,15
0,26.1,15
0,26.1,15
0,28.3,15
0,28.9,15
0,29.4,15
0,30,15
0,30.6,15
1,31,15
0,31,15
0,31,15
1,32.8,15
0,33,15
0,33.9,15
0,33.9,15
0,34.4,15
0,34.4,15
0,35,15
0,39.4,15
0,39.4,15
0,20,16
0,20.6,16
0,21,16
0,21.7,16
0,26.1,16
0,26.7,16
0,27.2,16
0,27.2,16
1,28.3,16
0,29.4,16
0,30,16
0,30,16
0,30,16
0,30.6,16
1,31,16
0,32.2,16
0,32.8,16
0,33,16
0,33,16
0,33.3,16
0,33.3,16
0,33.9,16
0,34,16
0,34.4,16
0,20.6,17
0,23.9,17
0,24.4,17
0,24.4,17
0,25,17
0,26.1,17
0,26.7,17
0,27.8,17
0,28.3,17
0,30,17
0,31.1,17
0,31.7,17
0,32,17
0,32,17
0,32,17
0,32.8,17
0,32.8,17
0,35,17
0,35,17
0,35,17
0,37.8,17
0,38.9,17
0,40,17
0,19,18
1,23.3,18
0,24.4,18
0,25,18
0,25.6,18
0,27.8,18
0,28.3,18
0,30,18
0,30.6,18
0,31,18
1,31.1,18
0,31.1,18
0,31.1,18
1,32,18
0,32.2,18
0,34,18
0,36.7,18
0,37.2,18
0,37.8,18
0,37.8,18
0,38.3,18
0,38.3,18
0,39.4,18
0,18.3,19
0,18.9,19
0,20.6,19
0,21.7,19
0,22.8,19
0,23.3,19
0,23.9,19
0,26.7,19
0,27.8,19
0,28,19
0,28,19
0,28.3,19
0,28.3,19
0,28.9,19
0,28.9,19
0,29,19
0,29.4,19
0,30,19
0,30,19
0,30,19
0,30.6,19
0,31,19
0,31.1,19
0,31.1,19
0,31.7,19
0,32.2,19
0,32.2,19
0,32.8,19
0,33.9,19
0,33.9,19
0,34,19
0,34,19
0,35.6,19
0,37,19
0,37.8,19
0,37.8,19
0,38,19
0,39,19
0,22.8,20
1,23,20
0,23.3,20
0,24.4,20
0,25,20
0,25,20
0,25.6,20
0,26,20
0,26,20
0,26,20
0,26.1,20
0,27,20
0,27.2,20
0,29,20
0,29,20
0,29.4,20
0,30,20
0,30,20
0,30,20
0,30,20
0,30,20
0,30,20
0,30,20
0,30.6,20
0,30.6,20
0,33,20
0,33.3,20
0,34,20
0,36,20
0,36.7,20
0,36.7,20
0,37.8,20
0,39.4,20
0,41,20
0,11.1,21
0,15,21
0,18.9,21
0,20.6,21
0,22,21
0,23.3,21
0,23.3,21
0,23.9,21
0,24.4,21
0,24.4,21
0,25,21
0,25.6,21
0,26,21
0,26,21
0,26,21
0,26,21
0,26.1,21
0,26.7,21
1,27,21
0,27,21
0,27,21
0,27,21
0,27.2,21
0,28.9,21
0,30,21
0,30.6,21
0,31.1,21
0,31.7,21
0,32,21
0,33,21
0,34.4,21
0,35.6,21
0,35.6,21
0,35.6,21
0,36.1,21
0,37,21
0,37,21
0,37.8,21
0,37.8,21
0,37.8,21
0,37.8,21
0,38,21
0,38.9,21
0,39,21
0,39,21
0,39.4,21
0,17.8,22
0,21.7,22
0,23.9,22
0,23.9,22
0,23.9,22
0,24,22
0,25,22
0,25,22
1,25.6,22
0,26,22
0,26.1,22
0,27.2,22
0,27.2,22
0,27.8,22
0,27.8,22
0,28.3,22
0,30,22
1,31,22
0,31,22
0,31,22
0,31.1,22
0,31.1,22
1,31.7,22
0,31.7,22
0,32,22
0,32.8,22
0,33.3,22
0,34.4,22
0,35,22
0,35,22
0,36,22
0,37.2,22
0,39.4,22
0,14,23
1,19,23
0,20,23
1,20.6,23
0,21.7,23
0,22.8,23
0,22.8,23
0,23.3,23
0,24.4,23
0,25.6,23
0,26.1,23
0,28.3,23
0,28.9,23
0,28.9,23
0,29.4,23
1,30.6,23
0,30.6,23
0,31,23
0,31,23
0,31,23
0,31,23
0,31.7,23
0,32.2,23
0,33.3,23
1,33.9,23
0,34,23
0,34,23
0,34.4,23
1,35.6,23
0,35.6,23
0,35.6,23
0,36.1,23
0,36.1,23
0,39.4,23
0,20.6,24
0,20.6,24
0,21.1,24
0,21.7,24
0,22.2,24
0,22.8,24
0,23.3,24
0,24,24
0,24,24
0,24,24
0,24.4,24
0,25.6,24
0,28.9,24
0,28.9,24
0,28.9,24
0,29,24
0,29,24
0,29.4,24
0,30,24
0,30,24
0,30.6,24
0,30.6,24
0,30.6,24
0,31.1,24
0,31.7,24
0,32,24
0,32,24
0,32,24
0,33.3,24
0,33.3,24
1,35,24
0,36,24
0,36,24
0,36,24
0,36.1,24
0,39.4,24
0,40,24
0,20.6,25
0,22,25
0,22.2,25
0,22.8,25
0,23.9,25
0,24,25
0,24,25
0,24,25
0,25,25
0,25.6,25
0,26.1,25
0,27.2,25
0,27.2,25
0,27.8,25
0,28,25
0,28.3,25
1,28.9,25
0,28.9,25
0,28.9,25
0,30,25
0,31,25
0,31,25
0,31,25
0,31,25
1,32,25
0,32.8,25
1,33,25
0,33,25
0,33,25
0,33.3,25
0,33.9,25
0,34,25
1,35,25
1,35.6,25
0,36.1,25
0,36.7,25
0,36.7,25
0,17.2,26
0,18.3,26
0,18.9,26
0,19.4,26
0,20,26
0,20,26
0,21.1,26
0,21.7,26
0,22.8,26
0,22.8,26
0,23.3,26
0,25,26
0,26.1,26
0,26.7,26
0,27.8,26
0,29.4,26
0,29.4,26
0,29.4,26
0,29.4,26
0,29.4,26
0,30,26
0,30,26
0,31.1,26
0,33,26
1,34.4,26
1,35,26
0,36.1,26
0,36.7,26
0,18.9,27
0,18.9,27
0,21.1,27
0,21.7,27
0,21.7,27
1,22,27
1,22.2,27
0,22.2,27
0,22.8,27
0,23,27
1,24,27
0,25.6,27
0,26.1,27
0,27.2,27
0,27.2,27
0,27.8,27
1,28,27
1,28.3,27
0,28.3,27
0,28.9,27
0,28.9,27
0,29.4,27
1,30,27
0,30,27
0,31.7,27
0,32,27
0,32.2,27
0,34,27
0,12.2,28
0,13.9,28
0,17.8,28
0,18.3,28
0,18.3,28
0,19.4,28
0,20.6,28
0,21.1,28
0,21.1,28
0,21.7,28
0,22.2,28
0,23.3,28
0,25,28
0,25.6,28
0,26,28
0,27,28
0,27,28
0,27.8,28
0,27.8,28
0,28,28
0,28,28
0,28.3,28
1,33.3,28
0,35.6,28
0,36,28
0,36,28
0,38.3,28
0,38.3,28
0,38.3,28
0,39,28
1,8.9,29
0,15,29
0,17.2,29
0,17.2,29
0,17.2,29
0,20.6,29
0,20.6,29
0,21,29
0,21,29
0,21.7,29
0,22.2,29
0,22.8,29
0,23,29
1,23.3,29
0,25.6,29
0,27,29
0,27,29
1,27.2,29
0,27.2,29
0,29,29
0,29,29
0,29,29
1,29.4,29
0,29.4,29
1,30,29
0,30,29
0,30.6,29
0,30.6,29
0,30.6,29
0,31,29
0,31,29
0,31,29
